ticker,longName,shortName
SPY,SPDR S&P 500 ETF Trust (SPY),S&P 500
QQQ,Invesco QQQ Trust (QQQ),NASDAQ
IWV,iShares Russell 3000 ETF (IWV),Russell 3000
CNYA,iShares MSCI China A ETF (CNYA),China
EZU,iShares MSCI Eurozone ETF (EZU),Europe
EWH,iShares MSCI Hong Kong ETF (EWH),Hong Kong
EWJ,iShares MSCI Japan ETF (EWJ),Japan
EWU,iShares MSCI United Kingdom ETF (EWU),UK
INDA,iShares MSCI India ETF (INDA),India
XIU.TO,iShares S&P/TSX 60 Index ETF (XIU.TO),Canada
GLD,SPDR Gold Shares (GLD),Gold
GSG,iShares S&P GSCI Commodity-Indexed Trust (GSG),Commodities